.notdef,1000,0
cid00001,247,0
cid00002,378,0
cid00003,482,0
cid00004,634,0
cid00005,608,0
cid00006,989,0
cid00007,815,0
cid00008,254,0
cid00009,418,0
cid00010,418,0
cid00011,493,0
cid00012,615,0
cid00013,340,0
cid00014,382,0
cid00015,340,0
cid00016,425,0
cid00017,608,0
cid00018,608,0
cid00019,608,0
cid00020,608,0
cid00021,608,0
cid00022,608,0
cid00023,608,0
cid00024,608,0
cid00025,608,0
cid00026,608,0
cid00027,340,0
cid00028,340,0
cid00029,615,0
cid00030,615,0
cid00031,615,0
cid00032,493,0
cid00033,999,0
cid00034,761,0
cid00035,727,0
cid00036,708,0
cid00037,799,0
cid00038,674,0
cid00039,657,0
cid00040,766,0
cid00041,870,0
cid00042,436,0
cid00043,442,-91
cid00044,785,0
cid00045,651,0
cid00046,1014,0
cid00047,825,0
cid00048,795,0
cid00049,690,0
cid00050,795,0
cid00051,770,0
cid00052,612,0
cid00053,714,0
cid00054,829,0
cid00055,744,0
cid00056,1111,0
cid00057,739,0
cid00058,708,0
cid00059,638,0
cid00060,387,0
cid00061,425,0
cid00062,387,0
cid00063,615,0
cid00064,608,0
cid00065,453,0
cid00066,599,0
cid00067,689,0
cid00068,579,0
cid00069,673,0
cid00070,586,0
cid00071,409,0
cid00072,611,0
cid00073,700,0
cid00074,358,0
cid00075,347,-125
cid00076,673,0
cid00077,366,0
cid00078,1025,0
cid00079,697,0
cid00080,637,0
cid00081,689,0
cid00082,656,0
cid00083,520,0
cid00084,511,0
cid00085,404,0
cid00086,691,0
cid00087,593,-10
cid00088,893,-9
cid00089,617,0
cid00090,598,-7
cid00091,526,0
cid00092,383,0
cid00093,304,0
cid00094,383,0
cid00095,615,0
cid00096,378,0
cid00097,608,0
cid00098,608,0
cid00099,610,0
cid00100,608,-5
cid00101,304,0
cid00102,1000,0
cid00103,453,0
cid00104,845,0
cid00105,398,0
cid00106,616,0
cid00107,615,0
cid00108,531,0
cid00109,453,0
cid00110,366,0
cid00111,1000,0
cid00112,415,0
cid00113,415,0
cid00114,453,0
cid00115,665,0
cid00116,1000,0
cid00117,340,0
cid00118,453,0
cid00119,415,0
cid00120,425,0
cid00121,616,0
cid00122,989,0
cid00123,989,0
cid00124,989,0
cid00125,493,0
cid00126,761,0
cid00127,761,0
cid00128,761,0
cid00129,761,0
cid00130,761,0
cid00131,761,0
cid00132,1008,0
cid00133,708,0
cid00134,674,0
cid00135,674,0
cid00136,674,0
cid00137,674,0
cid00138,436,0
cid00139,436,0
cid00140,436,0
cid00141,436,0
cid00142,799,0
cid00143,825,0
cid00144,795,0
cid00145,795,0
cid00146,795,0
cid00147,795,0
cid00148,795,0
cid00149,1000,0
cid00150,795,0
cid00151,829,0
cid00152,829,0
cid00153,829,0
cid00154,829,0
cid00155,708,0
cid00156,699,0
cid00157,736,0
cid00158,599,0
cid00159,599,0
cid00160,599,0
cid00161,599,0
cid00162,599,0
cid00163,599,0
cid00164,896,0
cid00165,579,0
cid00166,586,0
cid00167,586,0
cid00168,586,0
cid00169,586,0
cid00170,358,0
cid00171,358,0
cid00172,358,0
cid00173,358,-28
cid00174,627,0
cid00175,697,0
cid00176,637,0
cid00177,637,0
cid00178,637,0
cid00179,637,0
cid00180,637,0
cid00181,1000,0
cid00182,637,0
cid00183,691,0
cid00184,691,0
cid00185,691,0
cid00186,691,0
cid00187,598,-7
cid00188,685,0
cid00189,598,-7
cid00190,761,0
cid00191,599,0
cid00192,761,0
cid00193,599,0
cid00194,799,0
cid00195,673,0
cid00196,674,0
cid00197,586,0
cid00198,674,0
cid00199,586,0
cid00200,436,0
cid00201,358,-14
cid00202,436,0
cid00203,358,-1
cid00204,825,0
cid00205,697,0
cid00206,825,0
cid00207,697,0
cid00208,795,0
cid00209,637,0
cid00210,795,0
cid00211,637,0
cid00212,1048,0
cid00213,978,0
cid00214,829,0
cid00215,691,0
cid00216,829,0
cid00217,691,0
cid00218,829,0
cid00219,691,0
cid00220,608,-5
cid00221,795,0
cid00222,637,0
cid00223,829,0
cid00224,691,0
cid00225,761,0
cid00226,599,0
cid00227,436,0
cid00228,358,0
cid00229,795,0
cid00230,637,0
cid00231,829,0
cid00232,691,0
cid00233,829,0
cid00234,691,0
cid00235,829,0
cid00236,691,0
cid00237,829,0
cid00238,691,0
cid00239,829,0
cid00240,691,0
cid00241,825,0
cid00242,697,0
cid00243,656,0
cid00244,654,0
cid00245,1000,0
cid00246,1000,0
cid00247,1000,0
cid00248,1000,0
cid00249,1000,0
cid00250,761,0
cid00251,727,0
